-0.220	15.39	0.198
0.120	15.62	0.078
0.330	15.58	0.126
0.520	15.86	0.083
0.730	16.29	0.070
1.010	17.02	0.058
1.170	17.33	0.050
1.300	17.24	0.059
1.400	17.71	0.067
1.480	17.90	0.051
1.550	17.98	0.049
1.600	18.12	0.042
1.650	18.16	0.043
1.700	18.37	0.035
1.740	18.45	0.038
1.780	18.55	0.041
1.810	18.70	0.036
1.850	18.90	0.043
